country,sender nationality,reciever nationality,debit,credit
BH,OM,BH,250.0697115,0.0
DE,OM,DE,20.684125,0.0
DE,OM,DE,903.83834695,0.0
OM,OM,OM,4728.014523925,0.0
OM,DE,OM,0.0,31702.612166225
US,OM,US,26511.87,0.0
US,OM,US,49207.7124,0.0
US,OM,US,2293.06,0.0
US,OM,US,6224.1641,0.0
US,OM,US,7700.0,0.0
US,OM,US,1904.98,0.0
US,OM,US,3118.8234,0.0
US,OM,US,1322.475,0.0
US,OM,US,7700.0,0.0
US,OM,US,3850.0,0.0
US,OM,US,9733.6624,0.0
US,OM,US,10533.6,0.0
US,OM,US,9625.0,0.0
US,OM,US,217.4942,0.0
US,OM,US,4736.58185,0.0
US,OM,US,15555.925,0.0
US,OM,US,225.225,0.0
US,OM,US,1732.5,0.0
US,OM,US,300.3,0.0
US,OM,US,54156.2175,0.0
US,OM,US,517.825,0.0
US,OM,US,385000.0,0.0
US,OM,US,4342.8,0.0
US,OM,US,116599.6062,0.0
US,OM,US,2320.07545,0.0
US,OM,US,12816.0956,0.0
US,OM,US,27514.3022,0.0
US,OM,US,7438.2,0.0
OM,US,OM,0.0,192.192
OM,US,IN,0.0,27.1425
OM,US,OM,0.0,133.9415
OM,US,OM,0.0,116326.595
OM,US,OM,0.0,53064.8811
OM,US,OM,0.0,9785.468
US,OM,US,13088.00185,0.0
US,OM,US,28110.69415,0.0
US,IQ,US,11984.28,0.0
US,OM,US,8495.025,0.0
US,OM,US,9979.2,0.0
US,OM,US,18376.82,0.0
US,OM,US,15915.9,0.0
US,OM,US,1501500.0,0.0
US,OM,US,44514.25055,0.0
US,OM,US,1391.8366,0.0
US,ZA,US,793.8238,0.0
US,OM,US,11696.839,0.0
US,OM,US,6307.2471,0.0
US,OM,US,8396.465,0.0
US,OM,US,770000.0,0.0
US,OM,US,9623.00185,0.0
US,OM,US,1025.18185,0.0
US,PK,US,4610.375,0.0
US,OM,US,1584674.6839,0.0
OM,SA,SA,15.4,0.0
OM,SA,OM,1015.24,0.0
OM,SA,SA,10.17,0.0
OM,SA,SA,349.37,0.0
OM,SA,SA,17.29,0.0
OM,SA,SA,5.09,0.0
OM,SA,SA,60.0,0.0
OM,SA,SA,4586.34,0.0
OM,SA,SA,122.75,0.0
OM,SA,SA,20.46,0.0
OM,SA,SA,10.23,0.0
OM,SA,SA,25.0,0.0
OM,SA,SA,204.48,0.0
OM,SA,SA,206.22,0.0
OM,SA,SA,60.0,0.0
OM,SA,SA,102.29,0.0
OM,SA,SA,5000.0,0.0
OM,SA,SA,5.5,0.0
OM,SA,SA,30.69,0.0
OM,SA,SA,10.23,0.0
OM,SA,SA,675.0,0.0
OM,SA,SA,25.57,0.0
OM,SA,SA,87.97,0.0
OM,SA,SA,35.05,0.0
OM,SA,SA,511.46,0.0
OM,SA,SA,18.0,0.0
OM,SA,SA,10.15,0.0
OM,SA,SA,153.44,0.0
OM,SA,SA,40.0,0.0
OM,SA,SA,204.58,0.0
OM,SA,SA,56.26,0.0
OM,SA,SA,2000.0,0.0
OM,SA,SA,51.15,0.0
OM,SA,SA,135.0,0.0
OM,SA,SA,61.37,0.0
OM,SA,SA,180.0,0.0
OM,SA,SA,121.83,0.0
OM,SA,SA,199.47,0.0
OM,SA,SA,28257.94,0.0
OM,SA,SA,20.46,0.0
OM,SA,SA,507.62,0.0
OM,SA,SA,54500.0,0.0
OM,SA,SA,2000.0,0.0
OM,SA,SA,1800.0,0.0
OM,SA,SA,4560.0,0.0
OM,SA,SA,2148.12,0.0
OM,SA,SA,2902.92,0.0
OM,SA,OM,0.0,189.22
OM,SA,OM,0.0,81.75
OM,SA,OM,0.0,2157.75
OM,SA,OM,0.0,138.35
OM,SA,OM,0.0,1.09
OM,SA,OM,0.0,189.22
OM,SA,OM,0.0,73.24
SA,OM,SA,38061.8524,0.0
SA,OM,SA,3081.0,0.0
JO,JO,JO,1084.8952,0.0
JO,JO,JO,271.2238,0.0
JO,JO,JO,151.885328,0.0
JO,JO,JO,2707.2979297068,0.0
US,OM,US,0.0,9974.0949
OM,TZ,OM,0.0,70.0
OM,OM,OM,0.0,25503.94
OM,OM,OM,0.0,20402.5283
OM,OM,OM,0.0,50.0
US,US,US,134.75,0.0
US,OM,US,5062.75,0.0
US,OM,US,9232.685,0.0
US,OM,US,232.848,0.0
US,PH,US,192.5,0.0
US,OM,US,1058.75,0.0
US,OM,US,4235.0,0.0
US,OM,US,1637.2125,0.0
US,OM,US,1178.87,0.0
US,OM,US,2567.565,0.0
US,OM,US,16568.475,0.0
US,OM,US,145447.29045,0.0
US,OM,US,793.1,0.0
US,OM,US,4270.47775,0.0
US,OM,US,10493.8295,0.0
US,OM,US,4533.2364,0.0
US,TR,US,1963.5,0.0
US,OM,US,2487.1,0.0
US,OM,US,19563.39,0.0
US,OM,US,19687.206,0.0
US,JO,US,192.5,0.0
US,OM,US,19250.0,0.0
US,OM,US,5803.2128,0.0
US,OM,US,11044.6875,0.0
US,OM,US,0.0,4063.61725
OM,ID,OM,0.0,100.0
OM,IQ,OM,0.0,10.0
OM,IQ,OM,0.0,50.0
EG,OM,EG,20514.43625,0.0
TR,OM,TR,4504.5,0.0
OM,OM,OM,8004.0653,0.0
OM,OM,OM,3393694.535,0.0
OM,OM,OM,0.0,3393733.035
OM,OM,OM,0.0,77.0
EG,OM,EG,48764.1385,0.0
OM,OM,OM,25000.9375,0.0
AE,OM,AE,3.87,0.0
OM,OM,OM,6.8,0.0
DE,OM,DE,67.51,0.0
TR,OM,TR,7.76,0.0
OM,OM,OM,10.0,0.0
IE,OM,IE,20.82,0.0
GB,OM,GB,44.64,0.0
OM,OM,OM,3.87,0.0
OM,OM,OM,0.35,0.0
AE,OM,AE,45.6,0.0
OM,OM,OM,45.89,0.0
OM,OM,OM,2.0,0.0
OM,IN,OM,1.0,0.0
OM,OM,OM,5.66,0.0
OM,OM,OM,2.72,0.0
OM,OM,OM,2.8,0.0
OM,OM,OM,16.81,0.0
OM,OM,OM,13.57,0.0
OM,IN,OM,1.37,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,2.0,0.0
SA,OM,SA,16.02,0.0
OM,OM,OM,12.2,0.0
OM,OM,OM,3.36,0.0
OM,OM,OM,1.67,0.0
US,OM,US,380.34,0.0
US,OM,US,294.14,0.0
OM,OM,OM,10.5,0.0
OM,OM,OM,12.96,0.0
OM,OM,OM,17.51,0.0
OM,OM,OM,11.49,0.0
OM,OM,OM,22.1,0.0
OM,OM,OM,10.37,0.0
OM,OM,OM,8.0,0.0
OM,OM,OM,5.5,0.0
OM,OM,OM,7.48,0.0
OM,OM,OM,5.5,0.0
OM,OM,OM,0.8,0.0
OM,OM,OM,60.91,0.0
OM,OM,OM,5.77,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,9.03,0.0
OM,OM,OM,8.6,0.0
OM,IN,OM,28.0,0.0
OM,IN,OM,1.05,0.0
OM,LB,OM,6.0,0.0
OM,LB,OM,9.0,0.0
OM,LB,OM,9.28,0.0
OM,OM,OM,1.05,0.0
OM,OM,OM,22.55,0.0
OM,OM,OM,824.8,0.0
IE,OM,IE,8.66,0.0
US,JO,US,7.85,0.0
OM,OM,OM,22.05,0.0
NL,OM,NL,23.88,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,2.7,0.0
OM,SD,OM,11.34,0.0
OM,OM,OM,8.4,0.0
AE,OM,AE,7.99,0.0
EG,EG,EG,1.6,0.0
EG,EG,EG,2.21,0.0
OM,EG,OM,2.66,0.0
OM,EG,OM,6.83,0.0
OM,JO,OM,7.0,0.0
OM,PS,OM,5.04,0.0
OM,PS,OM,10.58,0.0
OM,PS,OM,28.03,0.0
OM,SD,OM,0.76,0.0
OM,SD,OM,3.67,0.0
OM,PH,OM,5.0,0.0
OM,PH,OM,43.04,0.0
OM,PH,OM,2.5,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,1.31,0.0
AE,OM,AE,1.66,0.0
AE,LB,AE,3.14,0.0
OM,OM,OM,7.56,0.0
OM,OM,OM,20.0,0.0
OM,IN,OM,11.15,0.0
OM,IN,OM,4.9,0.0
OM,IN,OM,5.4,0.0
OM,OM,OM,6.0,0.0
OM,OM,OM,4.29,0.0
AE,OM,AE,19.26,0.0
AE,OM,AE,4.81,0.0
OM,OM,OM,2.94,0.0
OM,OM,OM,4.62,0.0
AE,JO,AE,277.89,0.0
AE,JO,AE,200.55,0.0
AE,JO,AE,6.84,0.0
OM,JO,OM,211.0,0.0
AE,JO,AE,222.59,0.0
OM,JO,OM,22.16,0.0
OM,OM,OM,54.44,0.0
OM,OM,OM,4.15,0.0
OM,OM,OM,5.06,0.0
NL,OM,NL,60.48,0.0
OM,OM,OM,25.72,0.0
US,OM,US,2.74,0.0
OM,IN,OM,6.51,0.0
OM,EG,OM,4.0,0.0
OM,EG,OM,10.23,0.0
OM,OM,OM,6.1,0.0
OM,OM,OM,3.65,0.0
OM,OM,OM,11.1,0.0
OM,OM,OM,0.6,0.0
OM,OM,OM,0.6,0.0
OM,OM,OM,46.0,0.0
OM,OM,OM,10.0,0.0
GB,OM,GB,14.86,0.0
GB,OM,GB,14.86,0.0
GB,OM,GB,14.86,0.0
OM,IQ,OM,1.62,0.0
OM,OM,OM,20.8,0.0
OM,OM,OM,34.66,0.0
OM,OM,OM,7.03,0.0
OM,IN,OM,12.58,0.0
OM,IN,OM,0.79,0.0
AE,OM,AE,12.3,0.0
OM,OM,OM,19.35,0.0
OM,OM,OM,19.37,0.0
AE,OM,AE,14.92,0.0
AE,OM,AE,35.07,0.0
AE,OM,AE,6.42,0.0
OM,AE,OM,26.6,0.0
OM,AE,OM,6.82,0.0
OM,AE,OM,34.9,0.0
OM,OM,OM,43.0,0.0
OM,OM,OM,1.8,0.0
OM,OM,OM,4.25,0.0
OM,SY,OM,32.5,0.0
OM,PK,OM,1.13,0.0
OM,PK,OM,1.8,0.0
OM,IN,OM,3.52,0.0
IE,OM,IE,4.11,0.0
OM,OM,OM,3.0,0.0
OM,OM,OM,17.23,0.0
OM,OM,OM,0.5,0.0
OM,OM,OM,1.7,0.0
OM,IN,OM,2.2,0.0
OM,IN,OM,9.0,0.0
OM,IN,OM,22.0,0.0
OM,IN,OM,9.0,0.0
OM,IN,OM,32.8,0.0
OM,IN,OM,15.0,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,6.0,0.0
OM,OM,OM,120.0,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,2.3,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,12.25,0.0
OM,OM,OM,3.09,0.0
OM,OM,OM,1.8,0.0
OM,OM,OM,28.0,0.0
OM,OM,OM,6.24,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,9.91,0.0
OM,OM,OM,7.8,0.0
OM,OM,OM,3.0,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,7.2,0.0
OM,OM,OM,1.9,0.0
OM,OM,OM,1.5,0.0
IE,OM,IE,4.1,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,6.8,0.0
LT,OM,LT,40.0,0.0
OM,OM,OM,3.46,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,16.2,0.0
OM,LB,OM,81.0,0.0
OM,LB,OM,126.4,0.0
OM,LB,OM,62.5,0.0
OM,LB,OM,22.0,0.0
OM,LB,OM,12.0,0.0
AE,LB,AE,88.17,0.0
IE,LB,IE,3.14,0.0
TR,OM,TR,54.43,0.0
TR,OM,TR,4.9,0.0
OM,OM,OM,78.7,0.0
OM,OM,OM,433.4,0.0
OM,OM,OM,13.3,0.0
OM,OM,OM,15.8,0.0
IE,OM,IE,5.5,0.0
OM,IN,OM,4.75,0.0
TR,OM,TR,20.41,0.0
TR,OM,TR,8.16,0.0
TR,OM,TR,8.84,0.0
AE,PK,AE,100.99,0.0
AE,PK,AE,3.84,0.0
OM,OM,OM,3.0,0.0
OM,IN,OM,160.0,0.0
OM,IN,OM,7.92,0.0
GB,LB,GB,17.03,0.0
GB,LB,GB,7.58,0.0
GB,LB,GB,15.29,0.0
OM,ZA,OM,5.69,0.0
SE,ZA,SE,1.96,0.0
OM,IN,OM,3.5,0.0
OM,OM,OM,8.8,0.0
OM,EG,OM,2.5,0.0
OM,IN,OM,21.15,0.0
OM,ZA,OM,466.0,0.0
AE,OM,AE,16.98,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,34.0,0.0
OM,OM,OM,9.57,0.0
OM,OM,OM,0.69,0.0
OM,OM,OM,2.8,0.0
OM,OM,OM,6.25,0.0
OM,EG,OM,1.46,0.0
IE,PH,IE,2.06,0.0
IE,PH,IE,2.06,0.0
IE,PH,IE,2.06,0.0
IE,PH,IE,2.06,0.0
IE,PH,IE,2.06,0.0
OM,JO,OM,4.72,0.0
OM,JO,OM,37.1,0.0
